Instancia: InstancesBRP/36Guadalajara30.txt, Q: 30
	Custo: 12900, Tempo: 0.461013
	Custo: 12900, Tempo: 0.461627
	Custo: 12900, Tempo: 0.452247
	Custo: 12900, Tempo: 0.549860
Melhor custo: 12700, média dos tempos: 0.512941
Instancia: InstancesBRP/37Guadalajara20.txt, Q: 20
	Custo: 59894, Tempo: 11.163847
	Custo: 59894, Tempo: 11.464476
	Custo: 59894, Tempo: 11.011146
	Custo: 59894, Tempo: 11.548551
	Custo: 59894, Tempo: 10.669072
	Custo: 59894, Tempo: 11.794128
	Custo: 59894, Tempo: 11.772087
	Custo: 59751, Tempo: 11.585964
	Custo: 59894, Tempo: 10.715083
	Custo: 59894, Tempo: 10.749394
Melhor custo: 59751, média dos tempos: 11.247374
Instancia: InstancesBRP/30Roma30.txt, Q: 30
	Custo: 61900, Tempo: 2.403976
	Custo: 62000, Tempo: 2.665238
	Custo: 61900, Tempo: 2.432512
	Custo: 61900, Tempo: 2.593578
	Custo: 62000, Tempo: 2.475346
	Custo: 62000, Tempo: 2.559270
	Custo: 62000, Tempo: 2.442002
	Custo: 62000, Tempo: 2.724411
	Custo: 62000, Tempo: 2.585176
	Custo: 62000, Tempo: 2.550775
Melhor custo: 61900, média dos tempos: 2.543229
Instancia: InstancesBRP/15Treviso10.txt, Q: 10
	Custo: 31443, Tempo: 0.839437
	Custo: 31443, Tempo: 1.007679
	Custo: 31443, Tempo: 0.967412
	Custo: 31443, Tempo: 0.832549
	Custo: 31443, Tempo: 0.807689
	Custo: 31443, Tempo: 0.945373
	Custo: 31443, Tempo: 1.048329
	Custo: 31443, Tempo: 0.904258
	Custo: 31443, Tempo: 0.824151
	Custo: 31443, Tempo: 0.919603
Melhor custo: 31443, média dos tempos: 0.909648
Instancia: InstancesBRP/39Dublin30.txt, Q: 30
	Custo: 33934, Tempo: 10.059577
	Custo: 33549, Tempo: 10.318918
	Custo: 33548, Tempo: 10.045317
	Custo: 33934, Tempo: 11.871933
	Custo: 34363, Tempo: 11.041576
	Custo: 33898, Tempo: 9.509047
	Custo: 33548, Tempo: 11.414588
	Custo: 34637, Tempo: 10.223906
	Custo: 33549, Tempo: 10.174968
	Custo: 34362, Tempo: 12.067741
Melhor custo: 33548, média dos tempos: 10.672757
Instancia: InstancesBRP/7Bergamo30.txt, Q: 30
	Custo: 12600, Tempo: 0.584469
	Custo: 12600, Tempo: 0.594129
	Custo: 12600, Tempo: 0.614086
	Custo: 12600, Tempo: 0.537862
	Custo: 12600, Tempo: 0.467541
	Custo: 12600, Tempo: 0.473181
	Custo: 12600, Tempo: 0.473976
	Custo: 12600, Tempo: 0.525379
	Custo: 12600, Tempo: 0.623697
	Custo: 12600, Tempo: 0.629124
Melhor custo: 12600, média dos tempos: 0.552344
Instancia: InstancesBRP/45RioDeJaneiro30.txt, Q: 30
	Custo: 125786, Tempo: 13.215154
	Custo: 127211, Tempo: 11.531159
	Custo: 126419, Tempo: 12.468436
	Custo: 128910, Tempo: 13.442293
	Custo: 124240, Tempo: 14.539428
	Custo: 125746, Tempo: 13.546088
	Custo: 125046, Tempo: 13.256544
	Custo: 126106, Tempo: 12.099765
	Custo: 127979, Tempo: 13.565859
	Custo: 126780, Tempo: 13.586276
Melhor custo: 124240, média dos tempos: 13.125101
Instancia: InstancesBRP/47RioDeJaneiro10.txt, Q: 10
	Custo: 268697, Tempo: 56.202087
	Custo: 270666, Tempo: 54.607773
	Custo: 272448, Tempo: 54.066769
	Custo: 273483, Tempo: 52.876850
	Custo: 272105, Tempo: 56.443230
	Custo: 274521, Tempo: 53.857441
	Custo: 272555, Tempo: 54.423851
	Custo: 271220, Tempo: 51.690891
	Custo: 269766, Tempo: 55.329929
	Custo: 274814, Tempo: 56.627708
Melhor custo: 268697, média dos tempos: 54.612653
Instancia: InstancesBRP/24SanAntonio30.txt, Q: 30
	Custo: 23105, Tempo: 1.831012
	Custo: 23105, Tempo: 1.857890
	Custo: 23105, Tempo: 1.845671
	Custo: 23105, Tempo: 1.890004
	Custo: 23105, Tempo: 1.602208
	Custo: 23105, Tempo: 1.970908
	Custo: 23105, Tempo: 1.552520
	Custo: 23105, Tempo: 1.953495
	Custo: 23105, Tempo: 1.696362
	Custo: 23105, Tempo: 1.792327
Melhor custo: 23105, média dos tempos: 1.799240
Instancia: InstancesBRP/44Denver10.txt, Q: 10
	Custo: 70125, Tempo: 9.593365
	Custo: 69820, Tempo: 9.715937
	Custo: 68774, Tempo: 8.259378
	Custo: 68344, Tempo: 10.215972
	Custo: 70232, Tempo: 9.064229
	Custo: 69693, Tempo: 9.575185
	Custo: 70226, Tempo: 9.009324
	Custo: 69282, Tempo: 8.925035
	Custo: 69158, Tempo: 9.345497
	Custo: 69318, Tempo: 9.076085
Melhor custo: 68344, média dos tempos: 9.278001
Instancia: InstancesBRP/6ReggioEmilia10.txt, Q: 10
	Custo: 32500, Tempo: 0.329275
	Custo: 32500, Tempo: 0.346810
	Custo: 32500, Tempo: 0.329742
	Custo: 32500, Tempo: 0.350828
	Custo: 32500, Tempo: 0.392446
	Custo: 32500, Tempo: 0.425110
	Custo: 32500, Tempo: 0.416311
	Custo: 32500, Tempo: 0.387479
	Custo: 32500, Tempo: 0.412808
	Custo: 32500, Tempo: 0.334772
Melhor custo: 32500, média dos tempos: 0.372558
Instancia: InstancesBRP/29Brescia11.txt, Q: 11
	Custo: 37400, Tempo: 1.686824
	Custo: 36300, Tempo: 2.220597
	Custo: 35000, Tempo: 1.670299
	Custo: 37900, Tempo: 1.982258
	Custo: 37100, Tempo: 1.538852
	Custo: 37100, Tempo: 2.112698
	Custo: 36600, Tempo: 1.803440
	Custo: 37900, Tempo: 1.876040
	Custo: 36400, Tempo: 1.874337
	Custo: 36400, Tempo: 2.071740
Melhor custo: 35000, média dos tempos: 1.883708
Instancia: InstancesBRP/17LaSpezia20.txt, Q: 20
	Custo: 21255, Tempo: 1.023659
	Custo: 21255, Tempo: 0.863132
	Custo: 21255, Tempo: 0.828150
	Custo: 21255, Tempo: 1.067737
	Custo: 21255, Tempo: 1.051482
	Custo: 21255, Tempo: 0.841056
	Custo: 21255, Tempo: 0.834352
	Custo: 21255, Tempo: 1.088502
	Custo: 21255, Tempo: 1.123552
	Custo: 21255, Tempo: 0.818284
Melhor custo: 21255, média dos tempos: 0.953991
Instancia: InstancesBRP/48Boston30.txt, Q: 30
	Custo: 66462, Tempo: 41.051708
	Custo: 66462, Tempo: 42.219383
	Custo: 66462, Tempo: 41.806435
	Custo: 66462, Tempo: 41.416309
	Custo: 66462, Tempo: 42.437031
	Custo: 66462, Tempo: 39.624016
	Custo: 66462, Tempo: 40.685741
	Custo: 66462, Tempo: 44.213909
	Custo: 66462, Tempo: 40.954353
	Custo: 66462, Tempo: 42.975742
Melhor custo: 66462, média dos tempos: 41.738458
Instancia: InstancesBRP/28Brescia20.txt, Q: 20
	Custo: 31300, Tempo: 2.933785
	Custo: 31300, Tempo: 2.640571
	Custo: 31300, Tempo: 2.890490
	Custo: 31300, Tempo: 3.178576
	Custo: 31300, Tempo: 2.426521
	Custo: 31300, Tempo: 2.623453
	Custo: 31300, Tempo: 3.017376
	Custo: 31300, Tempo: 2.945285
	Custo: 31300, Tempo: 2.699985
	Custo: 31300, Tempo: 2.630582
Melhor custo: 31300, média dos tempos: 2.798663
Instancia: InstancesBRP/38Guadalajara11.txt, Q: 11
	Custo: 64981, Tempo: 8.564140
	Custo: 64981, Tempo: 8.540254
	Custo: 64981, Tempo: 8.385337
	Custo: 64981, Tempo: 9.113124
	Custo: 64981, Tempo: 8.268934
	Custo: 64981, Tempo: 7.661176
	Custo: 64981, Tempo: 8.183689
	Custo: 64981, Tempo: 8.971409
	Custo: 64981, Tempo: 7.909563
	Custo: 64981, Tempo: 9.396439
Melhor custo: 64981, média dos tempos: 8.499406
Instancia: InstancesBRP/12Parma10.txt, Q: 10
	Custo: 32500, Tempo: 0.576757
	Custo: 32500, Tempo: 0.579634
	Custo: 32500, Tempo: 0.436358
	Custo: 32500, Tempo: 0.453346
	Custo: 32500, Tempo: 0.464828
	Custo: 32500, Tempo: 0.459297
	Custo: 32500, Tempo: 0.564908
	Custo: 32500, Tempo: 0.630054
	Custo: 32500, Tempo: 0.581340
	Custo: 32500, Tempo: 0.508188
Melhor custo: 32500, média dos tempos: 0.525471
Instancia: InstancesBRP/14Treviso20.txt, Q: 20
	Custo: 29259, Tempo: 0.810886
	Custo: 29259, Tempo: 0.827399
	Custo: 29259, Tempo: 1.029836
	Custo: 29259, Tempo: 1.063768
	Custo: 29259, Tempo: 0.848552
	Custo: 29259, Tempo: 0.834783
	Custo: 29259, Tempo: 0.974650
	Custo: 29259, Tempo: 1.071352
	Custo: 29259, Tempo: 0.900924
	Custo: 29259, Tempo: 0.847102
Melhor custo: 29259, média dos tempos: 0.920925
Instancia: InstancesBRP/26SanAntonio10.txt, Q: 10
	Custo: 40233, Tempo: 2.348435
	Custo: 41982, Tempo: 2.411172
	Custo: 41021, Tempo: 2.451227
	Custo: 41628, Tempo: 2.205128
	Custo: 40807, Tempo: 2.123753
	Custo: 41780, Tempo: 2.414586
	Custo: 41939, Tempo: 2.151529
	Custo: 41240, Tempo: 2.403361
	Custo: 40826, Tempo: 1.960767
	Custo: 41134, Tempo: 2.435575
Melhor custo: 40233, média dos tempos: 2.290553
Instancia: InstancesBRP/33Madison30.txt, Q: 30
	Custo: 31961, Tempo: 3.876836
	Custo: 31961, Tempo: 3.952251
	Custo: 31961, Tempo: 4.138715
	Custo: 31961, Tempo: 3.892049
	Custo: 31961, Tempo: 3.934006
	Custo: 31961, Tempo: 3.908476
	Custo: 31961, Tempo: 3.977257
	Custo: 31961, Tempo: 4.034139
	Custo: 31961, Tempo: 3.883909
	Custo: 31961, Tempo: 3.783427
Melhor custo: 31961, média dos tempos: 3.938107
Instancia: InstancesBRP/4ReggioEmilia30.txt, Q: 30
	Custo: 16900, Tempo: 0.331941
	Custo: 16900, Tempo: 0.336995
	Custo: 16900, Tempo: 0.330892
	Custo: 16900, Tempo: 0.328394
	Custo: 16900, Tempo: 0.335416
	Custo: 16900, Tempo: 0.389671
	Custo: 16900, Tempo: 0.440016
	Custo: 16900, Tempo: 0.432084
	Custo: 16900, Tempo: 0.433441
	Custo: 16900, Tempo: 0.433543
Melhor custo: 16900, média dos tempos: 0.379239
Instancia: InstancesBRP/42Denver30.txt, Q: 30
	Custo: 51583, Tempo: 24.774796
	Custo: 51583, Tempo: 26.689663
	Custo: 51583, Tempo: 26.080132
	Custo: 51583, Tempo: 24.936661
	Custo: 51583, Tempo: 28.740644
	Custo: 51583, Tempo: 25.388712
	Custo: 51583, Tempo: 24.552177
	Custo: 51583, Tempo: 25.452072
	Custo: 51583, Tempo: 25.150040
	Custo: 51583, Tempo: 25.491480
Melhor custo: 51583, média dos tempos: 25.725638
Instancia: InstancesBRP/41Dublin11.txt, Q: 11
	Custo: 60004, Tempo: 12.555652
	Custo: 59197, Tempo: 12.747346
	Custo: 57944, Tempo: 13.406865
	Custo: 58721, Tempo: 12.861842
	Custo: 60262, Tempo: 12.413179
	Custo: 60436, Tempo: 11.885261
	Custo: 59845, Tempo: 13.779203
	Custo: 59196, Tempo: 12.718994
	Custo: 59287, Tempo: 12.609450
	Custo: 59702, Tempo: 12.770668
Melhor custo: 57944, média dos tempos: 12.774847
Instancia: InstancesBRP/23Ottawa10.txt, Q: 10
	Custo: 17997, Tempo: 1.607062
	Custo: 17997, Tempo: 1.684774
	Custo: 17997, Tempo: 1.735895
	Custo: 17997, Tempo: 1.564161
	Custo: 17997, Tempo: 1.852121
	Custo: 17997, Tempo: 1.465859
	Custo: 17997, Tempo: 1.875390
	Custo: 17997, Tempo: 1.675682
	Custo: 17997, Tempo: 1.770715
	Custo: 17997, Tempo: 1.730766
Melhor custo: 17997, média dos tempos: 1.696243
Instancia: InstancesBRP/19BuenosAires30.txt, Q: 30
	Custo: 78924, Tempo: 1.091002
